file,source,card,has,regions,wide_border,holder,face,notes
"listings/clean/card01.webp","listing_image","","clean|photo_ok","","","nothing","front",""
"listings/clean/card02.webp","listing_image","","clean|photo_ok","","","nothing","front",""
"listings/clean/card03.webp","listing_image","","clean|photo_ok","","","sleeve","front",""
"listings/clean/card04_back.webp","listing_image","listings/clean/card04","clean|photo_ok","","","nothing","back",""
"listings/clean/card04_front.webp","listing_image","listings/clean/card04","clean|photo_ok","","","nothing","front",""
"listings/clean/card05_back.webp","listing_image","listings/clean/card05","clean|photo_ok","","","nothing","back",""
"listings/clean/card05_front.webp","listing_image","listings/clean/card05","clean|photo_ok","","","nothing","front",""
"listings/clean/card06_back.webp","listing_image","listings/clean/card06","clean|photo_ok","","","nothing","back",""
"listings/clean/card06_front.webp","listing_image","listings/clean/card06","clean|photo_ok","","","nothing","front",""
"listings/clean/card07_back.webp","listing_image","listings/clean/card07","clean|photo_ok","","","one_touch","back",""
"listings/clean/card07_front.webp","listing_image","listings/clean/card07","clean|photo_ok","","","one_touch","front",""
"listings/clean/card08_back.webp","listing_image","listings/clean/card08","clean|photo_ok","","","nothing","back",""
"listings/clean/card08_front.webp","listing_image","listings/clean/card08","clean|photo_ok","","","nothing","front",""
"listings/clean/card09_front.webp","listing_image","listings/clean/card09","clean|photo_ok","","","sleeve|toploader","front",""
"listings/clean/card10_back.webp","listing_image","listings/clean/card10","clean|photo_ok","","","toploader|sleeve","back",""
"listings/corner_wear/card01.webp","listing_image","","corners:rounding|photo_ok","bottom_left","","nothing","front",""
"listings/corner_wear/card02.webp","listing_image","","corners:whitening|surface:crease|corners:rounding|photo_ok","top_left|top_right|bottom_right","","sleeve|toploader","front",""
"listings/corner_wear/card03.webp","listing_image","","corners:rounding|photo_ok","bottom_left","","sleeve","front",""
"listings/corner_wear/card04.webp","listing_image","","surface:crease|corners:whitening|photo_ok","top_right|bottom_right","","nothing","front",""
"listings/corner_wear/card05.webp","listing_image","","corners:rounding|corners:whitening|photo_ok","top_left|bottom_left|bottom_right","","one_touch","front",""
"listings/corner_wear/card06.webp","listing_image","","corners:rounding|surface:crease","bottom_left|bottom_right|top_right","","nothing","front",""
"listings/corner_wear/card07.webp","listing_image","","surface:crease|corners:rounding|photo_ok","top_right|bottom_right","","sleeve|toploader","front",""
"listings/corner_wear/card08.webp","listing_image","","surface:crease|corners:whitening|corners:rounding|photo_ok","top_left|bottom_left|bottom_right","","nothing","front",""
"listings/corner_wear/card09.webp","listing_image","","corners:rounding|photo_ok","top_right","","toploader|sleeve","front",""
"listings/corner_wear/card10.webp","listing_image","","surface:crease|photo_ok","bottom_left","","nothing","front",""
"listings/corner_wear/card11.webp","listing_image","","edges:roughness|photo_ok|corners:whitening|corners:fraying","top_left|bottom_right","","sleeve","front",""
"listings/corner_wear/card12.webp","listing_image","","corners:whitening|surface:crease|corners:fraying","top_right|bottom_left","","nothing","front",""
"listings/corner_wear/card13.webp","listing_image","","photo_ok|centering:miscut","top_left","","nothing","front",""
"listings/corner_wear/card14.webp","listing_image","","centering:miscut|photo_ok","bottom_right","","nothing","front",""
"listings/corner_wear/card15.webp","listing_image","","photo_ok","","","sleeve","front",""
"listings/corner_wear/card16.webp","listing_image","","corners:whitening|corners:fraying|photo_ok","bottom_left","","sleeve|toploader","front",""
"listings/corner_wear/card17.webp","listing_image","","corners:rounding|photo_ok","top_right","","nothing","front",""
"listings/corner_wear/card18.webp","listing_image","","corners:rounding|photo_ok","top_left","","nothing","front",""
"listings/corner_wear/card19.webp","listing_image","","corners:whitening|photo_ok","top_right","","nothing","front",""
"listings/corner_wear/card20.webp","listing_image","","corners:rounding|photo_ok","top_right","","nothing","front",""
"listings/corner_wear/card21.webp","listing_image","","corners:whitening|corners:rounding|photo_ok","bottom_left","","nothing","front",""
"listings/glare/card01_clean.webp","listing_image","listings/glare/card01","clean|photo_ok","","","nothing","front",""
"listings/glare/card01_glare.webp","listing_image","listings/glare/card01","clean|glare","top_right","","nothing","front",""
"listings/glare/card02_clean.webp","listing_image","listings/glare/card02","clean|photo_ok","","","nothing","front",""
"listings/glare/card02_glare.webp","listing_image","listings/glare/card02","clean|glare","top_left","","toploader|sleeve","front",""
"listings/glare/card03_clean.webp","listing_image","listings/glare/card03","clean|photo_ok","","","sleeve","front",""
"listings/glare/card03_glare.webp","listing_image","listings/glare/card03","clean|glare","bottom_right","","toploader|sleeve","front",""
"listings/glare/card04_clean.webp","listing_image","listings/glare/card04","clean|photo_ok","","","nothing","front",""
"listings/glare/card04_glare.webp","listing_image","listings/glare/card04","clean|glare","bottom_right","","sleeve","front",""
"listings/glare/card05_clean.webp","listing_image","listings/glare/card05","clean|photo_ok","","","sleeve|toploader","front",""
"listings/glare/card05_glare.webp","listing_image","listings/glare/card05","clean|glare","bottom_left|bottom","","sleeve","front",""
"listings/glare/card06_clean.webp","listing_image","listings/glare/card06","clean|photo_ok","","","nothing","front",""
"listings/glare/card06_glare.webp","listing_image","listings/glare/card06","clean|glare","left|bottom_left","","sleeve","front",""
"listings/glare/card07_clean.webp","listing_image","listings/glare/card07","clean|photo_ok","","","nothing","front",""
"listings/glare/card07_glare.webp","listing_image","listings/glare/card07","clean|glare","bottom_left","","nothing","front",""
"listings/glare/card08_clean.webp","listing_image","listings/glare/card08","clean|photo_ok","","","nothing","front",""
"listings/glare/card08_glare.webp","listing_image","listings/glare/card08","clean|glare","top_left|top","","nothing","front",""
"listings/glare/card09_clean.webp","listing_image","listings/glare/card09","clean|photo_ok","","","nothing","front",""
"listings/glare/card09_glare.webp","listing_image","listings/glare/card09","clean|glare","right","","nothing","front",""
"listings/glare/card10_clean.webp","listing_image","listings/glare/card10","corners:whitening|photo_ok","bottom_right","","nothing","front",""
"listings/glare/card10_glare.webp","listing_image","listings/glare/card10","clean|glare","top_right","","sleeve","front",""
"listings/miscut/card01.webp","listing_image","","centering:off_center|centering:miscut|photo_ok","","left","nothing","front",""
"listings/miscut/card02.webp","listing_image","","centering:off_center|centering:miscut|photo_ok","","right|top","sleeve","front",""
"listings/miscut/card03.webp","listing_image","","centering:off_center|centering:miscut|photo_ok","","left|top","nothing","front",""
"listings/miscut/card04.webp","listing_image","","centering:off_center|photo_ok","","right","nothing","front",""
"listings/miscut/card05.webp","listing_image","","centering:off_center|photo_ok","","left","toploader|sleeve","front",""
"listings/miscut/card06.webp","listing_image","","centering:off_center|glare","top","bottom|right","sleeve","front",""
"listings/miscut/card07.webp","listing_image","","corners:whitening|photo_ok|centering:off_center","top_right","right","nothing","front",""
"listings/miscut/card08.webp","listing_image","","centering:off_center|photo_ok","","bottom","nothing","front",""
"listings/miscut/card09.webp","listing_image","","centering:off_center|underexposed","","right","sleeve|card_saver","front",""
"listings/miscut/card10.webp","listing_image","","centering:off_center|photo_ok","","left","nothing","front",""
"listings/miscut/card11.webp","listing_image","","centering:off_center|photo_ok|surface:dimples","bottom_left","bottom|right","nothing","front",""
"listings/miscut/card12.webp","listing_image","","centering:off_center|photo_ok","","top","nothing","front",""
"listings/miscut/card13.webp","listing_image","","centering:off_center|photo_ok","","bottom|left","nothing","front",""
"listings/miscut/card14.webp","listing_image","","centering:off_center|photo_ok","","bottom","sleeve","front",""
"listings/miscut/card15.webp","listing_image","","centering:off_center|photo_ok","","top","nothing","front",""
"listings/miscut/card16.webp","listing_image","","centering:off_center|photo_ok","","left","nothing","front",""
"listings/miscut/card17.webp","listing_image","","centering:off_center|photo_ok","","right","nothing","front",""
"listings/miscut/card18.webp","listing_image","","centering:off_center|photo_ok","","left","nothing","back",""
"listings/miscut/card19.webp","listing_image","","centering:off_center","","right|top","nothing","front",""
"listings/miscut/card20.webp","listing_image","","centering:off_center|photo_ok","","top","nothing","back",""
"listings/miscut/card21.webp","listing_image","","centering:off_center|photo_ok","","right","slab","front",""
"listings/miscut/card22.webp","listing_image","","centering:off_center|photo_ok","","left|top","nothing","back",""
"listings/miscut/card23.webp","listing_image","","centering:off_center|photo_ok","","top|left","nothing","back",""
"listings/surface/card01.webp","listing_image","","surface:print_lines|photo_ok","left|center","","nothing","front",""
"listings/surface/card02.webp","listing_image","","surface:scratches|photo_ok","left","","one_touch","front",""
"listings/surface/card03.webp","listing_image","","surface:dimples|edges:chipping|photo_ok","top_right|right|top_left|bottom_right","","nothing","front",""
"listings/surface/card04.webp","listing_image","","surface:scratches|photo_ok","right|center|top_left","","nothing","front",""
"listings/surface/card05.webp","listing_image","","surface:scratches|photo_ok","right|top_left","","nothing","front",""
"listings/surface/card06.webp","listing_image","","surface:dimples|photo_ok","top_left","","nothing","front",""
"listings/surface/card07.webp","listing_image","","surface:dimples|photo_ok","top_right","","nothing","front",""
"listings/surface/card08.webp","listing_image","","surface:print_lines|surface:gloss_break","left|center|right","","nothing","front",""
"listings/surface/card09.webp","listing_image","","surface:scratches|photo_ok|corners:fraying","top_left|top_right|bottom_left","","nothing","front",""
"listings/surface/card10.webp","listing_image","","surface:scratches|photo_ok","top_left","","nothing","front",""
"listings/surface/card11.webp","listing_image","","surface:scratches|photo_ok","center","","nothing","front",""
"listings/surface/card12.webp","listing_image","","surface:dimples|photo_ok","top_left","","nothing","front",""
"listings/surface/card13.webp","listing_image","","surface:dimples","left|bottom_right|top_left","","sleeve","front",""
"screenshots/screenshots001.png","screenshot","card-001","clean|glare","top_right|right","","toploader|sleeve","front",""
"screenshots/screenshots002.png","screenshot","","clean","top_right","","toploader|sleeve","front",""
"screenshots/screenshots003.png","screenshot","","glare|clean","top_left","","toploader|sleeve","front","2 card in this photo left and right"
